guid,tag
8,positive
1576,positive
2320,negative
4912,neutral
3821,positive
1306,neutral
4555,positive
259,positive
3216,positive
881,neutral
1037,positive
2463,negative
3760,positive
3102,positive
4074,negative
2155,positive
5009,positive
3292,positive
3599,neutral
1061,negative
3927,negative
4461,positive
716,positive
2505,positive
1803,positive
2157,negative
1612,positive
4052,positive
3641,positive
5097,positive
2358,positive
349,negative
4710,negative
2991,positive
459,negative
1737,positive
1993,positive
116,neutral
2949,positive
2792,negative
1580,positive
2021,positive
4843,negative
4827,negative
3119,neutral
3298,negative
4541,positive
1952,positive
1839,negative
2127,negative
3872,positive
3023,positive
2351,positive
4507,negative
600,positive
1516,positive
4601,negative
1046,positive
1227,positive
4378,positive
4357,negative
4094,positive
5027,positive
1969,neutral
4754,positive
861,negative
136,negative
4466,neutral
4916,negative
1025,positive
4922,neutral
1233,positive
1173,positive
532,positive
51,positive
3008,positive
1578,neutral
4945,positive
2572,positive
173,neutral
3439,positive
755,neutral
2918,negative
1417,positive
3152,positive
121,positive
780,negative
4319,positive
1191,positive
1573,positive
1406,positive
3955,positive
2904,neutral
2721,positive
58,positive
3149,negative
3690,positive
3243,positive
3476,positive
1393,positive
3362,positive
1552,positive
2348,positive
1863,positive
3003,positive
1949,positive
2137,positive
4500,positive
2823,positive
1021,positive
3103,positive
4981,positive
3110,positive
824,positive
1999,negative
1769,negative
4038,positive
2499,positive
4287,negative
4913,neutral
3181,positive
4578,positive
1446,positive
1269,positive
2803,positive
1099,positive
96,positive
749,negative
489,negative
3464,positive
4910,negative
5000,negative
2717,positive
939,negative
4944,positive
4560,negative
4471,neutral
313,positive
3002,negative
204,positive
4082,negative
960,positive
740,positive
31,positive
3324,negative
264,positive
1922,negative
3424,positive
1192,negative
4603,positive
570,negative
2668,positive
1645,positive
3271,positive
89,neutral
3975,positive
3397,neutral
3638,positive
1228,positive
2744,neutral
4545,negative
730,positive
2958,positive
1717,positive
1324,positive
4312,positive
3374,negative
4430,positive
3945,positive
290,negative
4061,positive
1168,negative
1667,positive
3139,positive
964,positive
3495,negative
932,neutral
4483,negative
3227,negative
5108,positive
1931,positive
5040,positive
3174,negative
1381,positive
2800,negative
4911,neutral
1768,negative
4087,positive
1648,positive
3909,positive
4348,negative
3170,negative
3774,positive
3492,negative
1994,positive
2971,positive
5043,positive
4552,positive
4372,positive
1682,negative
4046,positive
4022,positive
174,negative
4387,positive
677,positive
1133,negative
429,positive
4040,positive
2114,negative
3998,positive
1020,positive
2676,positive
2367,positive
5037,positive
2863,positive
2988,negative
2746,positive
1431,negative
2550,positive
286,positive
739,positive
3348,negative
3948,negative
3224,positive
1096,positive
